timestamp,source_ip,destination_ip,action,severity
2024-07-13T05:24:15,4.194.81.116,37.197.44.67,DENY,Low
2024-02-25T06:19:03,119.168.249.21,166.208.161.174,DENY,Low
2024-02-15T15:41:48,169.56.215.145,143.22.169.198,DENY,Low
2024-01-02T10:39:36,91.22.55.54,93.83.211.63,DENY,Low
2024-07-04T22:45:43,49.152.9.96,181.220.221.156,ALLOW,Low
2024-07-31T12:03:05,210.26.240.47,65.162.103.158,DENY,Low
2024-07-05T02:38:56,58.118.175.194,156.135.162.189,DENY,Medium
2024-08-03T12:07:29,137.163.168.230,206.214.94.105,DENY,Low
2024-06-20T00:46:03,92.153.34.30,54.196.146.203,ALLOW,Low
2024-06-15T15:56:41,74.176.87.193,29.62.177.101,DENY,Low
2024-06-13T14:57:22,30.79.139.192,18.120.65.98,ALLOW,Low
2024-11-11T03:59:23,65.143.49.6,65.244.25.9,DENY,Low
2024-02-25T00:35:39,24.94.58.156,80.49.1.217,DENY,Low
2024-02-02T12:45:33,59.28.9.179,56.183.111.48,DENY,Low
2024-02-20T03:23:12,27.56.127.120,216.53.92.150,ALLOW,Low
2024-05-27T07:11:09,201.79.241.76,82.112.41.85,DENY,Low
2024-09-03T10:55:25,223.230.103.173,66.142.5.155,ALLOW,Low
2024-01-22T20:49:16,11.200.241.10,21.252.190.164,DENY,Low
2024-10-11T22:53:27,115.249.188.173,76.24.79.54,DENY,Medium
2024-08-19T14:37:52,12.61.180.199,59.130.194.125,ALLOW,Low
2024-08-14T20:48:50,124.40.214.63,211.94.134.46,DENY,Low
2024-11-17T01:11:36,48.242.61.177,58.13.88.1,ALLOW,Low
2024-10-23T05:51:32,92.33.145.41,48.49.123.139,DENY,Medium
2024-01-05T03:27:49,198.96.13.15,107.11.157.187,DENY,Low
2024-02-14T01:11:24,73.198.234.63,61.199.96.82,ALLOW,Low
2024-08-05T09:43:18,208.221.208.231,57.45.144.35,ALLOW,Low
2024-02-27T07:52:54,190.232.159.96,187.67.11.131,DENY,High
2024-02-04T04:44:27,115.90.11.147,125.24.131.126,DENY,Low
2024-11-11T12:48:11,107.248.40.235,145.212.183.1,ALLOW,High
2024-10-12T11:37:44,149.179.23.171,80.25.102.224,ALLOW,Medium
2024-02-23T15:32:02,37.221.216.35,205.120.135.99,ALLOW,High
2024-01-05T21:43:23,67.167.76.14,195.88.54.219,DENY,Low
2024-01-19T08:23:21,193.148.156.129,87.0.85.64,DENY,Low
2024-01-13T20:04:21,122.15.192.215,159.9.90.41,ALLOW,Low
2024-01-10T13:17:10,136.124.43.10,41.5.217.111,ALLOW,Low
2024-06-03T17:17:14,18.27.78.137,43.46.233.253,DENY,Low
2024-02-19T19:13:44,30.120.116.188,196.239.169.182,DENY,Low
2024-03-10T05:45:39,119.2.208.123,124.212.13.83,DENY,High
2024-07-22T08:52:51,173.17.57.27,170.136.236.64,ALLOW,Low
2024-05-08T08:56:12,111.71.12.201,99.200.51.169,ALLOW,Low
2024-05-27T06:54:34,40.71.233.168,32.33.55.180,DENY,Low
2024-05-09T00:57:28,50.89.171.93,139.133.125.193,ALLOW,Low
2024-05-03T17:38:38,124.204.230.119,190.17.217.33,DENY,Low
2024-07-28T08:44:23,103.132.202.187,201.25.171.105,DENY,Low
2024-06-29T01:47:34,186.217.6.194,68.193.136.166,ALLOW,Low
2024-07-10T17:02:17,88.216.239.176,15.28.187.3,ALLOW,Low
2024-07-21T16:53:40,114.200.253.29,123.247.253.153,ALLOW,Low
2024-03-24T01:39:40,58.108.160.149,107.166.235.28,ALLOW,Medium
2024-02-04T01:25:41,146.182.249.179,157.155.103.238,ALLOW,High
2024-08-07T13:30:44,108.227.180.155,12.237.138.78,ALLOW,Low
2024-03-09T22:23:37,1.251.39.227,172.92.204.94,ALLOW,Low
2024-09-06T08:39:17,57.72.112.19,143.194.157.244,ALLOW,Low
2024-10-26T01:24:50,109.29.223.216,197.79.195.65,DENY,Low
2024-05-05T16:31:16,49.201.0.93,214.206.62.53,ALLOW,Low
2024-03-03T18:32:38,220.35.134.62,148.206.23.34,DENY,High
2024-03-21T09:19:33,172.134.197.203,35.235.237.150,ALLOW,Low
2024-11-05T01:17:04,16.227.4.214,75.66.83.124,ALLOW,Low
2024-02-28T05:38:59,117.210.216.49,42.21.15.197,DENY,Medium
2024-06-25T21:27:35,171.153.132.211,35.34.225.84,ALLOW,Low
2024-06-25T19:33:41,19.96.81.155,57.137.161.104,DENY,Medium
2024-04-03T04:25:42,17.49.100.199,45.28.41.225,ALLOW,Low
2024-07-24T12:10:37,39.247.164.164,131.197.132.21,DENY,Medium
2024-08-21T10:37:26,168.241.171.41,171.91.209.197,ALLOW,Low
2024-01-17T20:11:06,177.113.222.97,76.111.131.75,ALLOW,Low
2024-03-25T08:52:31,77.176.153.84,119.146.5.197,DENY,Low
2024-11-08T00:02:58,53.1.167.155,16.199.67.54,DENY,Medium
2024-09-01T07:16:52,159.193.147.74,92.86.95.77,DENY,Low
2024-09-18T17:41:00,212.102.194.129,48.12.64.144,DENY,Low
2024-11-16T13:33:53,122.100.21.13,212.136.71.137,ALLOW,Medium
2024-06-12T23:30:38,73.98.174.228,42.126.23.172,ALLOW,Low
2024-10-26T15:35:41,61.221.69.199,24.14.20.236,ALLOW,Medium
2024-07-09T13:08:35,155.127.22.26,109.15.89.58,DENY,Medium
2024-07-26T14:17:30,192.28.39.51,37.155.97.243,DENY,Medium
2024-01-15T05:14:34,7.212.177.149,212.245.47.171,DENY,Low
2024-03-17T07:53:48,115.37.210.210,211.207.167.232,DENY,High
2024-04-07T02:21:17,10.234.35.40,141.109.142.48,DENY,Low
2024-05-20T00:08:20,97.54.235.229,73.205.240.192,ALLOW,Medium
2024-09-05T22:04:27,48.162.227.191,199.71.117.80,DENY,Low
2024-01-31T04:57:31,38.19.9.107,161.98.78.170,ALLOW,Low
2024-01-12T21:31:29,15.201.130.97,84.73.114.191,ALLOW,Medium
2024-06-07T19:34:05,179.30.66.149,196.152.73.53,DENY,Low
2024-05-28T05:33:40,50.201.120.226,132.49.114.101,ALLOW,Low
2024-09-26T13:25:29,168.155.38.219,3.153.108.149,DENY,Low
2024-02-25T16:13:04,65.223.44.90,213.30.11.94,DENY,Low
2024-01-05T00:59:15,29.216.241.46,96.170.53.31,ALLOW,Low
2024-07-01T13:03:08,76.74.134.245,21.195.144.87,DENY,High
2024-07-19T07:26:33,143.19.59.62,143.47.4.8,DENY,Medium
2024-04-01T18:34:49,79.97.146.190,143.2.90.110,ALLOW,Low
2024-08-07T00:40:31,124.241.133.174,29.206.20.122,ALLOW,Low
2024-10-31T00:56:08,80.204.207.132,200.104.114.44,DENY,Low
2024-10-30T02:30:36,49.115.55.57,64.112.249.150,DENY,Low
2024-09-18T09:40:34,109.57.99.225,216.114.32.230,DENY,Low
2024-06-26T06:32:19,165.108.140.147,16.195.255.40,ALLOW,Medium
2024-05-07T04:47:27,92.208.202.225,25.57.155.235,ALLOW,Low
2024-09-06T20:24:14,26.87.188.177,170.168.251.90,ALLOW,Low
2024-11-04T18:25:32,212.252.49.59,29.53.223.120,ALLOW,Low
2024-03-03T13:15:29,5.14.54.214,42.48.113.205,DENY,Low
2024-03-20T04:02:54,96.151.60.176,105.217.146.56,DENY,High
2024-07-08T02:56:15,99.237.226.219,199.195.151.213,ALLOW,Low
2024-11-06T02:17:12,174.123.48.89,168.18.214.150,DENY,Medium
2024-04-14T00:48:06,213.222.237.3,178.40.104.138,DENY,Low
2024-10-19T07:03:55,53.52.48.203,8.81.77.74,ALLOW,High
2024-11-19T01:59:46,44.179.154.129,61.158.60.112,DENY,Low
2024-05-18T03:40:59,138.181.9.230,102.223.187.104,DENY,High
2024-09-27T17:37:52,2.112.169.231,171.178.166.40,ALLOW,Medium
2024-06-19T14:55:30,194.34.234.232,44.204.169.188,ALLOW,Medium
2024-07-26T18:09:43,26.34.73.100,104.229.43.24,DENY,Low
2024-11-29T04:31:27,88.247.15.234,216.150.238.207,ALLOW,Low
2024-05-28T06:50:10,125.65.132.177,207.217.158.4,DENY,Medium
2024-08-17T20:01:43,153.19.227.139,214.61.104.11,ALLOW,Medium
2024-04-27T13:17:59,80.218.62.231,94.182.94.29,ALLOW,Medium
2024-01-22T05:53:55,199.160.235.102,157.40.233.79,DENY,Medium
2024-10-31T19:47:26,15.128.208.34,3.3.145.18,ALLOW,Medium
2024-09-26T07:00:28,25.215.62.8,193.116.78.130,ALLOW,Medium
2024-08-23T18:12:21,20.187.244.135,86.85.52.177,ALLOW,Low
2024-06-10T23:57:39,40.243.215.19,136.31.185.38,ALLOW,Low
2024-02-12T22:50:09,99.84.112.15,145.53.179.169,ALLOW,Low
2024-11-17T16:22:49,197.185.74.116,24.160.230.8,ALLOW,Low
2024-04-16T02:50:41,160.151.149.89,145.130.104.229,ALLOW,Medium
2024-10-30T07:20:22,204.63.243.130,30.241.75.214,DENY,Medium
2024-10-29T01:57:28,78.127.128.145,157.163.25.133,DENY,Medium
2024-04-18T17:34:33,150.34.106.247,134.160.72.145,ALLOW,Low
